prefix	base
rdf	http://www.w3.org/1999/02/22-rdf-syntax-ns#
rdfs	http://www.w3.org/2000/01/rdf-schema#
xsd	http://www.w3.org/2001/XMLSchema#
owl	http://www.w3.org/2002/07/owl#
ex	http://example.com
ldtab	https://ldtab.org/2021/10/ldtab#
dc	http://purl.org/dc/elements/1.1/
dcat	http://www.w3.org/ns/dcat#
dct	http://purl.org/dc/terms/
euvoc	http://publications.europa.eu/ontology/euvoc#
foaf	http://xmlns.com/foaf/0.1/
gdmt	https://w3id.org/gdmt/
org	http://www.w3.org/ns/org#
pav	http://purl.org/pav/
prov	http://www.w3.org/ns/prov#
qb	http://purl.org/linked-data/cube#
schema	http://schema.org/
sh	http://www.w3.org/ns/shacl#
skos	http://www.w3.org/2004/02/skos/core#
skosthes	http://purl.org/iso25964/skos-thes#
skosxl	http://www.w3.org/2008/05/skos-xl#
scheme	https://w3id.org/gdmt/
fdc	http://vocab.fairdatacollective.org/gdmt/
